month	carrier	airport	arr_delay	weather_delay	nas_delay
7	WN	PBI	very_long	very_long	very_long	Delayed
7	WN	SFO	nan	very_long	very_long	Delayed
7	YV	ATL	very_long	very_long	very_long	Delayed
7	9E	BGR	very_long	medium	very_long	Delayed
7	9E	BMI	long	no_delay	no_delay	OnTime
7	9E	CSG	very_long	long	very_long	Delayed
7	9E	CWA	very_long	long	very_long	Delayed
7	AA	BWI	nan	very_long	very_long	Delayed
7	AA	HNL	very_long	no_delay	very_long	Delayed
7	AA	RDM	very_long	no_delay	medium	Delayed
7	AA	RIC	nan	very_long	very_long	Delayed
7	AA	SDF	very_long	very_long	very_long	Delayed
7	AA	STS	very_long	short	very_long	Delayed
7	AS	MSP	very_long	no_delay	very_long	Delayed
7	AS	PHL	very_long	long	very_long	Delayed
7	B6	PVD	very_long	very_long	very_long	Delayed
7	B6	RDU	very_long	long	very_long	Delayed
7	C5	LCH	very_long	very_long	long	Delayed
7	C5	SGF	very_long	medium	long	Delayed
7	C5	XNA	very_long	no_delay	long	Delayed
7	DL	AGS	very_long	long	long	Delayed
7	DL	ATL	nan	nan	nan	Delayed
7	DL	ECP	very_long	very_long	very_long	Delayed
7	DL	JAC	very_long	long	very_long	Delayed
7	DL	JAX	nan	very_long	very_long	Delayed
7	DL	MDT	very_long	medium	long	Delayed
7	DL	MEM	very_long	very_long	very_long	Delayed
7	DL	SDF	very_long	long	very_long	Delayed
7	DL	STT	very_long	no_delay	very_long	Delayed
7	F9	SMF	very_long	no_delay	no_delay	Delayed
7	F9	TPA	nan	very_long	very_long	Delayed
7	G4	BNA	nan	very_long	very_long	Delayed
7	G4	CHA	very_long	medium	medium	Delayed
7	G4	LRD	long	no_delay	medium	OnTime
7	G4	MSP	very_long	no_delay	very_long	Delayed
7	G4	SYR	very_long	very_long	very_long	Delayed
6	9E	BTV	very_long	very_long	very_long	Delayed
6	9E	CSG	very_long	medium	very_long	Delayed
6	9E	CWA	very_long	short	long	Delayed
6	9E	LGA	nan	very_long	nan	Delayed
6	9E	MOB	very_long	very_long	very_long	Delayed
6	9E	ORF	very_long	no_delay	very_long	Delayed
6	AA	CHS	nan	very_long	very_long	Delayed
6	AA	CLT	nan	nan	nan	Delayed
6	AA	DEN	nan	very_long	very_long	Delayed
6	AA	JAC	very_long	medium	very_long	Delayed
6	AA	LBB	very_long	long	long	Delayed
6	AA	TVC	very_long	no_delay	medium	Delayed
6	AS	IAD	very_long	no_delay	very_long	Delayed
6	AS	JNU	very_long	no_delay	very_long	Delayed
6	AS	OMA	very_long	long	long	Delayed
6	AS	PSP	very_long	no_delay	long	Delayed
6	AS	SIT	very_long	no_delay	very_long	Delayed
6	AS	STS	very_long	no_delay	medium	Delayed
6	B6	PVD	very_long	very_long	very_long	Delayed
6	B6	RNO	very_long	medium	very_long	Delayed
6	C5	BRO	very_long	very_long	short	Delayed
6	DL	BUF	very_long	very_long	very_long	Delayed
6	DL	DCA	nan	very_long	nan	Delayed
6	DL	FAY	very_long	long	long	Delayed
6	DL	HPN	very_long	medium	very_long	Delayed
6	DL	HSV	very_long	very_long	very_long	Delayed
6	DL	LGB	very_long	no_delay	short	Delayed
6	DL	MDW	very_long	long	very_long	Delayed
6	DL	OGG	very_long	no_delay	long	Delayed
6	DL	SFO	nan	very_long	very_long	Delayed
6	DL	SHV	no_delay	no_delay	no_delay	OnTime
6	DL	TLH	very_long	very_long	very_long	Delayed
6	F9	MEM	long	no_delay	medium	OnTime
6	G4	AUS	very_long	very_long	very_long	Delayed
6	G4	CHS	very_long	no_delay	long	Delayed
6	G4	DSM	very_long	very_long	very_long	Delayed
6	G4	LRD	medium	no_delay	short	OnTime
6	G4	MFE	very_long	very_long	long	Delayed
6	G4	MRY	no_delay	no_delay	no_delay	OnTime
6	G4	SHV	very_long	long	medium	Delayed
6	G7	BGR	long	no_delay	medium	OnTime
6	G7	IND	no_delay	no_delay	no_delay	OnTime
6	HA	BOS	very_long	no_delay	no_delay	Delayed
6	HA	SEA	very_long	long	no_delay	Delayed
6	HA	SJC	very_long	no_delay	no_delay	Delayed
6	MQ	AMA	very_long	very_long	very_long	Delayed
6	MQ	BUF	very_long	no_delay	long	Delayed
6	MQ	EYW	very_long	medium	very_long	Delayed
6	MQ	MIA	nan	very_long	very_long	Delayed
6	MQ	MOB	very_long	medium	very_long	Delayed
6	MQ	ONT	no_delay	no_delay	no_delay	OnTime
6	MQ	VPS	very_long	no_delay	medium	Delayed
6	NK	BHM	very_long	no_delay	very_long	Delayed
6	NK	MIA	very_long	very_long	very_long	Delayed
6	OH	BHM	nan	very_long	very_long	Delayed
6	OH	CRW	very_long	very_long	very_long	Delayed
6	OH	MSY	very_long	no_delay	very_long	Delayed
6	OH	MYR	very_long	very_long	very_long	Delayed
6	OH	PIA	very_long	very_long	very_long	Delayed
6	OO	ACT	very_long	long	medium	Delayed
6	OO	ATW	very_long	very_long	very_long	Delayed
6	OO	BOI	very_long	long	very_long	Delayed
6	OO	BUF	very_long	no_delay	medium	Delayed
6	OO	DAY	very_long	very_long	very_long	Delayed
6	OO	FOD	very_long	no_delay	short	Delayed
6	OO	GEG	very_long	medium	very_long	Delayed
6	OO	GUC	very_long	long	very_long	Delayed
6	OO	HDN	very_long	very_long	very_long	Delayed
6	OO	HOU	very_long	long	very_long	Delayed
6	OO	JLN	very_long	medium	very_long	Delayed
6	OO	MEM	very_long	very_long	very_long	Delayed
6	OO	PIA	very_long	long	very_long	Delayed
6	OO	PRC	very_long	long	long	Delayed
6	OO	RIW	very_long	medium	very_long	Delayed
6	OO	STS	very_long	long	very_long	Delayed
6	OO	SWO	very_long	very_long	long	Delayed
6	PT	CWA	long	long	medium	OnTime
6	PT	JAN	very_long	very_long	long	Delayed
6	QX	BRW	no_delay	no_delay	no_delay	OnTime
6	QX	ELP	very_long	long	no_delay	Delayed
6	QX	MSP	very_long	no_delay	medium	Delayed
6	QX	OAK	very_long	no_delay	long	Delayed
6	QX	SJC	very_long	no_delay	long	Delayed
6	UA	BQN	very_long	medium	medium	Delayed
6	UA	DFW	nan	very_long	very_long	Delayed
6	UA	IAH	nan	very_long	nan	Delayed
6	UA	JAC	very_long	very_long	very_long	Delayed
6	UA	PBI	very_long	very_long	very_long	Delayed
6	WN	CLT	very_long	medium	very_long	Delayed
6	WN	ITO	very_long	no_delay	short	Delayed
6	WN	JAN	very_long	medium	very_long	Delayed
6	WN	LBB	very_long	very_long	very_long	Delayed
6	WN	OKC	nan	very_long	very_long	Delayed
6	WN	PHL	very_long	long	very_long	Delayed
6	WN	PIT	nan	very_long	very_long	Delayed
6	WN	SMF	nan	very_long	very_long	Delayed
6	WN	SRQ	very_long	very_long	very_long	Delayed
6	YV	BWI	very_long	long	medium	Delayed
6	YV	MEM	very_long	long	medium	Delayed
6	YV	MOB	very_long	long	no_delay	Delayed
6	YV	RDU	very_long	long	medium	Delayed
6	YV	SBN	very_long	very_long	long	Delayed
6	YV	TYS	medium	medium	no_delay	OnTime
6	YX	CHA	very_long	no_delay	long	Delayed
6	YX	CHO	very_long	no_delay	long	Delayed
6	YX	PNS	long	no_delay	medium	OnTime
6	YX	RSW	very_long	medium	very_long	Delayed
5	9E	AVL	very_long	very_long	very_long	Delayed
5	9E	EYW	no_delay	no_delay	no_delay	OnTime
5	9E	FAR	very_long	no_delay	long	Delayed
5	9E	GTR	very_long	long	medium	Delayed
5	9E	HPN	very_long	long	very_long	Delayed
5	9E	SYR	very_long	very_long	very_long	Delayed
5	AA	DCA	nan	very_long	nan	Delayed
5	AA	DEN	nan	very_long	very_long	Delayed
5	AA	FLL	nan	very_long	very_long	Delayed
5	AA	LGA	nan	very_long	nan	Delayed
5	AA	MSN	very_long	very_long	long	Delayed
5	AA	MSY	nan	very_long	very_long	Delayed
5	AA	PHX	nan	very_long	very_long	Delayed
5	AA	TPA	nan	very_long	very_long	Delayed
5	AS	FLL	very_long	no_delay	long	Delayed
5	AS	SBA	very_long	no_delay	long	Delayed
5	AS	SFO	nan	very_long	very_long	Delayed
5	AS	SIT	very_long	no_delay	long	Delayed
5	AS	SJC	very_long	no_delay	very_long	Delayed
5	AS	SLC	very_long	no_delay	very_long	Delayed
5	B6	BUR	very_long	no_delay	very_long	Delayed
5	C5	SYR	very_long	no_delay	very_long	Delayed
5	DL	HSV	very_long	long	very_long	Delayed
5	DL	IAH	nan	long	very_long	Delayed
5	DL	IDA	very_long	no_delay	medium	Delayed
5	DL	MSP	nan	very_long	nan	Delayed
5	DL	PDX	very_long	long	very_long	Delayed
5	DL	PHL	very_long	long	very_long	Delayed
5	DL	ROC	very_long	long	very_long	Delayed
5	F9	CMH	very_long	long	no_delay	Delayed
5	F9	MDW	very_long	very_long	very_long	Delayed
5	G4	ALB	very_long	long	long	Delayed
5	G4	BLI	very_long	medium	medium	Delayed
5	G4	CVG	nan	very_long	very_long	Delayed
5	G4	DAY	very_long	very_long	long	Delayed
5	G4	GUF	very_long	medium	medium	Delayed
5	G4	IDA	very_long	medium	medium	Delayed
5	G4	OKC	very_long	short	long	Delayed
5	G4	ROA	very_long	very_long	medium	Delayed
5	G7	IAD	very_long	long	very_long	Delayed
5	G7	LEX	very_long	very_long	long	Delayed
5	G7	MDT	long	no_delay	medium	OnTime
5	G7	PHL	very_long	very_long	very_long	Delayed
5	HA	LAS	very_long	no_delay	medium	Delayed
5	MQ	ABQ	very_long	no_delay	medium	Delayed
5	MQ	AGS	no_delay	no_delay	no_delay	OnTime
5	MQ	CLT	very_long	very_long	very_long	Delayed
5	MQ	GNV	very_long	no_delay	long	Delayed
5	MQ	ICT	very_long	very_long	very_long	Delayed
5	MQ	MLU	very_long	very_long	long	Delayed
5	MQ	MSP	very_long	long	very_long	Delayed
5	MQ	OKC	very_long	very_long	very_long	Delayed
5	MQ	PIT	very_long	long	very_long	Delayed
5	MQ	ROC	very_long	no_delay	very_long	Delayed
5	NK	BNA	very_long	long	very_long	Delayed
5	NK	BUR	very_long	no_delay	very_long	Delayed
5	NK	MIA	very_long	long	very_long	Delayed
5	NK	MKE	very_long	no_delay	very_long	Delayed
5	NK	STT	very_long	long	very_long	Delayed
5	OH	ECP	very_long	long	long	Delayed
5	OH	GPT	very_long	very_long	very_long	Delayed
5	OH	ORF	very_long	long	very_long	Delayed
5	OO	ABR	very_long	long	medium	Delayed
5	OO	ACV	very_long	no_delay	long	Delayed
5	OO	ATW	very_long	very_long	very_long	Delayed
5	OO	BIS	very_long	very_long	very_long	Delayed
5	OO	CPR	very_long	very_long	very_long	Delayed
5	OO	DDC	very_long	long	long	Delayed
5	OO	JMS	very_long	medium	medium	Delayed
5	OO	ONT	very_long	no_delay	medium	Delayed
5	OO	SWO	very_long	very_long	long	Delayed
5	PT	CHA	very_long	very_long	very_long	Delayed
5	PT	SCE	very_long	very_long	very_long	Delayed
5	QX	GEG	very_long	no_delay	very_long	Delayed
5	QX	LAX	very_long	short	very_long	Delayed
5	UA	CID	very_long	medium	very_long	Delayed
5	UA	DCA	nan	very_long	very_long	Delayed
5	UA	IND	very_long	very_long	very_long	Delayed
5	UA	RDM	very_long	medium	long	Delayed
5	UA	SLC	very_long	very_long	very_long	Delayed
5	UA	SMF	very_long	very_long	very_long	Delayed
5	WN	DAL	nan	very_long	nan	Delayed
5	WN	FLL	nan	very_long	very_long	Delayed
5	WN	HDN	very_long	no_delay	medium	Delayed
5	WN	MCO	nan	very_long	nan	Delayed
5	WN	PHL	very_long	very_long	very_long	Delayed
5	YV	ABQ	very_long	very_long	medium	Delayed
5	YV	BNA	very_long	long	very_long	Delayed
5	YV	BUF	very_long	no_delay	no_delay	Delayed
5	YV	DCA	no_delay	no_delay	no_delay	OnTime
5	YV	GSP	very_long	long	very_long	Delayed
5	YV	MOB	very_long	medium	medium	Delayed
5	YX	AUS	no_delay	no_delay	no_delay	OnTime
5	YX	HHH	very_long	very_long	very_long	Delayed
5	YX	ILM	very_long	no_delay	very_long	Delayed
5	YX	PVD	very_long	very_long	very_long	Delayed
5	YX	SDF	very_long	very_long	very_long	Delayed
4	G4	XNA	very_long	very_long	long	Delayed
4	G7	CHA	very_long	long	long	Delayed
4	G7	DAY	very_long	medium	long	Delayed
4	G7	GRR	very_long	long	no_delay	Delayed
4	G7	TUL	very_long	no_delay	no_delay	Delayed
4	HA	SJC	very_long	no_delay	no_delay	Delayed
4	MQ	AGS	very_long	medium	very_long	Delayed
4	MQ	CRP	very_long	very_long	very_long	Delayed
4	MQ	DCA	very_long	medium	very_long	Delayed
4	MQ	PNS	very_long	long	very_long	Delayed
4	MQ	SBA	medium	no_delay	no_delay	OnTime
4	MQ	SBP	very_long	no_delay	medium	Delayed
4	NK	CLE	very_long	no_delay	very_long	Delayed
4	OH	DCA	nan	very_long	nan	Delayed
4	OH	MGM	very_long	medium	very_long	Delayed
4	OO	CHA	very_long	very_long	very_long	Delayed
4	OO	DAY	very_long	long	very_long	Delayed
4	OO	EAU	very_long	no_delay	very_long	Delayed
4	OO	EWR	long	no_delay	medium	OnTime
4	OO	PIB	very_long	very_long	long	Delayed
4	OO	PSP	very_long	very_long	very_long	Delayed
4	OO	RNO	very_long	long	very_long	Delayed
4	OO	SHV	very_long	very_long	very_long	Delayed
4	PT	CLE	very_long	long	medium	Delayed
4	QX	DLG	very_long	no_delay	medium	Delayed
4	QX	GEG	very_long	no_delay	long	Delayed
4	QX	MFR	very_long	no_delay	very_long	Delayed
4	UA	BUR	very_long	no_delay	long	Delayed
4	UA	CMH	very_long	long	long	Delayed
4	UA	ELP	very_long	no_delay	very_long	Delayed
4	UA	MSN	very_long	no_delay	long	Delayed
4	9E	BDL	no_delay	no_delay	no_delay	OnTime
4	9E	CRW	very_long	medium	very_long	Delayed
4	9E	DCA	very_long	long	very_long	Delayed
4	9E	FSD	very_long	no_delay	long	Delayed
4	9E	GSP	very_long	no_delay	very_long	Delayed
4	9E	MCI	very_long	no_delay	medium	Delayed
4	9E	MGM	very_long	long	medium	Delayed
4	9E	ROC	very_long	medium	very_long	Delayed
4	9E	RSW	long	no_delay	no_delay	OnTime
4	AA	BUF	very_long	medium	very_long	Delayed
4	AA	DEN	nan	very_long	very_long	Delayed
4	AA	OMA	very_long	long	very_long	Delayed
4	AA	SLC	very_long	very_long	very_long	Delayed
4	AA	SNA	very_long	very_long	very_long	Delayed
4	AS	CMH	very_long	no_delay	medium	Delayed
4	AS	ONT	very_long	no_delay	medium	Delayed
4	AS	ORD	very_long	no_delay	very_long	Delayed
4	AS	SEA	nan	very_long	nan	Delayed
4	AS	SJC	very_long	no_delay	long	Delayed
4	B6	ALB	very_long	medium	very_long	Delayed
4	B6	LAX	very_long	very_long	very_long	Delayed
4	B6	MCO	nan	long	very_long	Delayed
4	DL	ANC	very_long	no_delay	very_long	Delayed
4	DL	CHA	very_long	long	long	Delayed
4	DL	ICT	very_long	long	long	Delayed
4	DL	MCO	nan	very_long	very_long	Delayed
4	DL	MSN	very_long	short	very_long	Delayed
4	DL	ORF	very_long	very_long	very_long	Delayed
4	F9	BDL	very_long	no_delay	very_long	Delayed
4	F9	CVG	very_long	long	very_long	Delayed
4	F9	DEN	nan	very_long	nan	Delayed
4	G4	ALB	very_long	medium	very_long	Delayed
4	G4	BIL	long	long	no_delay	OnTime
4	G4	MEM	very_long	no_delay	medium	Delayed
4	G4	MFE	long	short	medium	OnTime
4	G4	MLB	very_long	very_long	no_delay	Delayed
4	G4	PDX	very_long	no_delay	medium	Delayed
4	G4	PIT	very_long	long	very_long	Delayed
4	G4	SAV	very_long	no_delay	medium	Delayed
4	UA	PWM	very_long	no_delay	long	Delayed
4	WN	AUS	nan	very_long	very_long	Delayed
4	WN	ICT	very_long	medium	long	Delayed
4	WN	OKC	very_long	very_long	very_long	Delayed
4	WN	SJC	nan	long	very_long	Delayed
4	YV	BNA	very_long	very_long	very_long	Delayed
4	YV	CRP	very_long	medium	long	Delayed
4	YV	GRR	long	medium	medium	OnTime
4	YV	PHL	no_delay	no_delay	no_delay	OnTime
4	YV	SBN	no_delay	no_delay	no_delay	OnTime
4	YX	CLT	very_long	no_delay	very_long	Delayed
4	YX	RAP	very_long	no_delay	short	Delayed
4	YX	RIC	very_long	no_delay	very_long	Delayed
4	YX	TUL	very_long	short	very_long	Delayed
4	ZW	HSV	long	no_delay	medium	OnTime
3	G7	RDU	medium	no_delay	no_delay	OnTime
3	MQ	AVP	very_long	medium	very_long	Delayed
3	MQ	CHA	very_long	medium	very_long	Delayed
3	MQ	FSM	very_long	long	long	Delayed
3	MQ	HRL	very_long	long	long	Delayed
3	MQ	LAN	very_long	long	long	Delayed
3	MQ	LSE	very_long	medium	medium	Delayed
3	MQ	SRQ	very_long	no_delay	very_long	Delayed
3	NK	PNS	very_long	medium	very_long	Delayed
3	OH	AVP	very_long	no_delay	long	Delayed
3	OH	MHT	very_long	medium	very_long	Delayed
3	OH	PIT	very_long	no_delay	long	Delayed
3	OH	PNS	very_long	long	very_long	Delayed
3	OH	PWM	very_long	medium	very_long	Delayed
3	OO	ACV	very_long	very_long	very_long	Delayed
3	OO	APN	very_long	very_long	long	Delayed
3	OO	BUF	very_long	short	long	Delayed
3	OO	CDC	very_long	long	short	Delayed
3	OO	CLE	very_long	very_long	long	Delayed
3	OO	COD	very_long	medium	medium	Delayed
3	OO	FSD	very_long	very_long	very_long	Delayed
3	OO	HDN	very_long	long	medium	Delayed
3	OO	IDA	very_long	very_long	long	Delayed
3	OO	IND	very_long	very_long	long	Delayed
3	OO	MDT	very_long	very_long	long	Delayed
3	OO	MEI	very_long	very_long	short	Delayed
3	OO	MOB	no_delay	no_delay	no_delay	OnTime
3	OO	RAP	very_long	no_delay	very_long	Delayed
3	OO	TYS	very_long	long	very_long	Delayed
3	PT	ART	very_long	very_long	long	Delayed
3	PT	CMH	very_long	medium	long	Delayed
3	PT	PHF	very_long	long	long	Delayed
3	UA	DTW	very_long	no_delay	very_long	Delayed
3	UA	EYW	very_long	medium	very_long	Delayed
3	UA	IAH	nan	very_long	very_long	Delayed
3	UA	RDM	very_long	no_delay	long	Delayed
3	UA	SJC	very_long	long	long	Delayed
3	UA	SJU	very_long	long	very_long	Delayed
3	WN	ISP	very_long	long	very_long	Delayed
3	WN	PBI	very_long	medium	very_long	Delayed
3	YV	CHS	very_long	short	very_long	Delayed
3	YV	MAF	very_long	no_delay	long	Delayed
3	YV	PSP	no_delay	no_delay	no_delay	OnTime
3	YV	TUL	very_long	long	medium	Delayed
3	YX	EYW	very_long	no_delay	very_long	Delayed
3	YX	MEM	very_long	short	very_long	Delayed
3	ZW	CID	long	no_delay	short	OnTime
3	9E	ALB	very_long	no_delay	long	Delayed
3	9E	CAE	very_long	medium	very_long	Delayed
3	9E	CLE	very_long	very_long	very_long	Delayed
3	9E	DLH	long	no_delay	no_delay	OnTime
3	9E	GTR	very_long	medium	long	Delayed
3	9E	TPA	no_delay	no_delay	no_delay	OnTime
3	9E	TYS	very_long	very_long	very_long	Delayed
3	AA	BOS	nan	very_long	very_long	Delayed
3	AA	DSM	very_long	medium	very_long	Delayed
3	AA	PSP	very_long	medium	very_long	Delayed
3	AS	HNL	very_long	long	very_long	Delayed
3	AS	PIT	very_long	no_delay	short	Delayed
3	AS	SJC	very_long	short	very_long	Delayed
3	AS	WRG	very_long	no_delay	short	Delayed
3	B6	BQN	very_long	no_delay	very_long	Delayed
3	C5	CRP	very_long	very_long	long	Delayed
3	C5	PIT	medium	no_delay	medium	OnTime
3	DL	CAE	very_long	no_delay	long	Delayed
3	DL	FLL	nan	very_long	very_long	Delayed
3	DL	GSP	very_long	medium	very_long	Delayed
3	DL	KOA	very_long	no_delay	long	Delayed
3	DL	MYR	very_long	medium	very_long	Delayed
3	F9	BDL	very_long	short	very_long	Delayed
3	F9	DEN	nan	long	very_long	Delayed
3	F9	FAR	long	no_delay	no_delay	OnTime
3	F9	LIT	no_delay	no_delay	no_delay	OnTime
3	F9	PDX	very_long	long	long	Delayed
3	F9	SJC	very_long	no_delay	long	Delayed
3	F9	TTN	very_long	no_delay	long	Delayed
3	F9	TYS	no_delay	no_delay	no_delay	OnTime
3	G4	CVG	nan	very_long	very_long	Delayed
3	G4	FWA	very_long	no_delay	long	Delayed
3	G4	GEG	medium	no_delay	medium	OnTime
3	G4	IAG	very_long	no_delay	very_long	Delayed
3	G4	LAS	very_long	very_long	very_long	Delayed
3	G4	MFR	very_long	no_delay	medium	Delayed
3	G4	MSY	medium	no_delay	no_delay	OnTime
3	G4	PSC	very_long	no_delay	long	Delayed
3	G4	VPS	very_long	very_long	very_long	Delayed
3	G7	AVL	very_long	no_delay	long	Delayed
3	G7	BGR	very_long	no_delay	long	Delayed
3	G7	GSO	very_long	no_delay	very_long	Delayed
2	9E	AGS	very_long	very_long	very_long	Delayed
2	9E	BHM	very_long	no_delay	very_long	Delayed
2	9E	BNA	very_long	no_delay	very_long	Delayed
2	9E	ILM	very_long	long	medium	Delayed
2	9E	RAP	very_long	very_long	very_long	Delayed
2	9E	TPA	medium	no_delay	medium	OnTime
2	9E	TVC	very_long	no_delay	very_long	Delayed
2	AA	BFL	very_long	long	long	Delayed
2	AA	BHM	very_long	no_delay	very_long	Delayed
2	AA	CHS	very_long	medium	very_long	Delayed
2	AA	DFW	nan	very_long	nan	Delayed
2	AA	IND	very_long	very_long	very_long	Delayed
2	AA	ORD	nan	very_long	nan	Delayed
2	AA	PWM	very_long	no_delay	long	Delayed
2	AA	STL	very_long	very_long	very_long	Delayed
2	AS	BOS	very_long	long	very_long	Delayed
2	AS	DCA	very_long	long	very_long	Delayed
2	AS	ONT	very_long	medium	very_long	Delayed
2	AS	PHX	very_long	very_long	very_long	Delayed
2	AS	SFO	nan	very_long	very_long	Delayed
2	B6	BNA	very_long	no_delay	very_long	Delayed
2	B6	SAN	very_long	long	very_long	Delayed
2	C5	BHM	very_long	no_delay	long	Delayed
2	C5	LFT	very_long	long	medium	Delayed
2	C5	MEM	no_delay	no_delay	no_delay	OnTime
2	DL	ALB	very_long	very_long	very_long	Delayed
2	DL	BUF	very_long	very_long	very_long	Delayed
2	DL	CHS	very_long	long	very_long	Delayed
2	DL	EGE	very_long	no_delay	very_long	Delayed
2	DL	HRL	medium	no_delay	medium	OnTime
2	DL	IAD	very_long	very_long	very_long	Delayed
2	DL	IAH	very_long	very_long	very_long	Delayed
2	DL	ONT	very_long	long	very_long	Delayed
2	F9	FAR	no_delay	no_delay	no_delay	OnTime
2	F9	PSE	no_delay	no_delay	no_delay	OnTime
2	F9	SAN	very_long	very_long	very_long	Delayed
2	F9	SEA	very_long	no_delay	very_long	Delayed
2	G4	PHX	very_long	no_delay	long	Delayed
2	G4	PIT	very_long	very_long	very_long	Delayed
2	G4	TRI	very_long	no_delay	very_long	Delayed
2	G4	TVC	very_long	medium	medium	Delayed
2	G7	BTV	very_long	no_delay	long	Delayed
2	G7	LNK	very_long	short	very_long	Delayed
2	G7	SDF	no_delay	no_delay	no_delay	OnTime
2	MQ	CHS	very_long	long	long	Delayed
2	MQ	CLT	very_long	very_long	very_long	Delayed
2	MQ	CMH	very_long	very_long	very_long	Delayed
2	MQ	DFW	nan	very_long	nan	Delayed
2	MQ	HHH	very_long	medium	long	Delayed
2	MQ	PIA	very_long	long	very_long	Delayed
2	MQ	SDF	very_long	very_long	long	Delayed
2	NK	SLC	very_long	no_delay	very_long	Delayed
2	OH	BTV	very_long	long	very_long	Delayed
2	OH	DCA	nan	nan	nan	Delayed
2	OH	ILM	very_long	very_long	very_long	Delayed
2	OH	JAX	very_long	medium	long	Delayed
2	OH	ORF	very_long	very_long	very_long	Delayed
2	OH	PBI	no_delay	no_delay	no_delay	OnTime
2	OO	BNA	very_long	very_long	very_long	Delayed
2	OO	CDC	very_long	no_delay	medium	Delayed
2	OO	CHA	very_long	no_delay	long	Delayed
2	OO	COS	nan	very_long	very_long	Delayed
2	OO	COU	very_long	no_delay	medium	Delayed
2	OO	DVL	very_long	no_delay	no_delay	Delayed
2	OO	FWA	very_long	very_long	very_long	Delayed
2	OO	GTF	very_long	very_long	very_long	Delayed
2	OO	IMT	very_long	very_long	long	Delayed
2	OO	IND	very_long	long	long	Delayed
2	OO	LAN	very_long	very_long	long	Delayed
2	OO	LGB	very_long	long	medium	Delayed
2	OO	PHX	nan	very_long	very_long	Delayed
2	OO	PSP	very_long	very_long	very_long	Delayed
2	QX	FCA	very_long	long	long	Delayed
2	QX	PSP	very_long	no_delay	medium	Delayed
2	QX	RDM	very_long	very_long	very_long	Delayed
2	QX	SEA	nan	very_long	very_long	Delayed
2	UA	EWR	nan	very_long	nan	Delayed
2	UA	GEG	very_long	no_delay	long	Delayed
2	UA	IAH	nan	very_long	nan	Delayed
2	UA	LAS	nan	very_long	very_long	Delayed
2	UA	PBI	very_long	very_long	very_long	Delayed
2	UA	PHX	very_long	very_long	very_long	Delayed
2	UA	SBA	very_long	short	very_long	Delayed
2	WN	BOI	very_long	medium	very_long	Delayed
2	WN	BOS	very_long	very_long	very_long	Delayed
